,0,1,2,3,4
0,10.0,48.67223065250379,46.58573596358118,0.0,0.0
1,20.0,49.07056145675266,46.889226100151745,0.0,0.0
2,30.0,50.2845220030349,48.10318664643399,0.0,0.0
3,40.0,51.83990895295902,49.84825493171472,0.0,0.0
4,50.0,54.05918057663126,52.35204855842185,0.0,0.0
5,60.0,53.35735963581184,51.74506828528072,0.0,0.0
6,70.0,54.81790591805766,51.97268588770865,0.0,0.0
7,80.0,55.17830045523521,52.80728376327769,0.0,0.0
8,90.0,57.64415781487102,54.7040971168437,0.0,0.0
9,100.0,59.180576631259484,55.00758725341427,0.0,0.0
10,110.0,60.716995447647946,57.207890743550834,0.0,0.0
11,120.0,61.19119878603946,58.725341426403645,0.0,0.0
12,130.0,61.68437025796661,58.2701062215478,0.0,0.0
13,140.0,63.277693474962064,59.48406676783004,0.0,0.0
14,150.0,64.15022761760243,60.925644916540215,0.0,0.0
15,160.0,64.94688922610014,61.153262518968134,0.0,0.0
16,170.0,64.71927162367223,60.925644916540215,0.0,0.0
17,180.0,64.79514415781486,61.001517450682854,0.0,0.0
18,190.0,64.85204855842184,61.153262518968134,0.0,0.0
19,200.0,65.45902883156297,62.51896813353566,0.0,0.0
20,210.0,66.4453717754173,63.50531107738998,0.0,0.0
21,220.0,67.22306525037936,64.56752655538695,0.0,0.0
22,230.0,67.12822458270105,64.18816388467374,0.0,0.0
23,240.0,68.53186646433991,65.0227617602428,0.0,0.0
24,250.0,68.75948406676783,65.25037936267071,0.0,0.0
25,260.0,68.74051593323217,65.70561456752657,0.0,0.0
26,270.0,68.93019726858877,65.70561456752657,0.015625,0.0
27,280.0,68.9112291350531,65.7814871016692,0.0,0.0
28,290.0,68.81638846737481,65.7814871016692,0.0,0.0
29,300.0,69.99241274658573,66.38846737481032,0.0,0.0
30,310.0,70.12518968133536,66.99544764795145,0.0,0.0
31,320.0,71.26327769347496,67.75417298937785,0.0,0.0
32,330.0,71.54779969650986,68.13353566009106,0.0,0.0
33,340.0,71.73748103186647,68.13353566009106,0.0,0.0
34,350.0,71.90819423368741,68.20940819423369,0.0,0.0
35,360.0,72.30652503793627,68.13353566009106,0.0,0.0
36,370.0,73.23596358118361,68.96813353566009,0.0,0.0
37,380.0,73.44461305007587,69.27162367223065,0.0,0.0
38,390.0,73.33080424886191,68.96813353566009,0.0,0.0
39,400.0,73.99468892261002,69.3474962063733,0.0,0.0
40,410.0,74.27921092564492,69.7268588770865,0.0,0.015625
41,420.0,74.4309559939302,70.25796661608497,0.0,0.0
42,430.0,74.16540212443095,69.80273141122913,0.015625,0.0
43,440.0,74.37405159332322,69.7268588770865,0.0,0.0
44,450.0,74.44992412746586,69.80273141122913,0.015625,0.015625
45,460.0,75.41729893778452,70.8649468892261,0.140625,0.0
46,470.0,75.32245827010622,70.8649468892261,0.0,0.0
47,480.0,75.49317147192717,70.94081942336874,0.0,0.0
48,490.0,75.73975720789075,71.09256449165402,0.0,0.0
49,500.0,76.2329286798179,71.39605462822458,0.0,0.0
50,510.0,76.57435508345979,71.92716236722306,0.0,0.0
51,520.0,76.72610015174507,72.45827010622155,0.0,0.0
52,530.0,76.93474962063733,72.7617602427921,0.0,0.015625
53,540.0,77.16236722306526,72.98937784522003,0.0,0.0
54,550.0,77.01062215477997,73.21699544764795,0.0,0.0
55,560.0,77.31411229135054,73.5204855842185,0.015625,0.0
56,570.0,77.97799696509864,73.89984825493171,0.015625,0.0
57,580.0,77.95902883156297,73.59635811836115,0.015625,0.0
58,590.0,78.18664643399089,73.82397572078906,0.015625,0.0
59,600.0,78.26251896813353,73.89984825493171,0.0,0.0
60,610.0,78.50910470409713,74.05159332321699,0.015625,0.0
61,620.0,78.69878603945372,74.05159332321699,0.0,0.0
62,630.0,78.86949924127465,74.50682852807283,0.015625,0.0
63,640.0,78.90743550834598,74.35508345978755,0.0,0.0
64,650.0,78.88846737481032,74.4309559939302,0.0,0.0
65,660.0,79.0402124430956,74.58270106221548,0.0,0.015625
66,670.0,79.30576631259484,74.65857359635811,0.015625,0.0
67,680.0,79.81790591805766,75.64491654021245,0.015625,0.0
68,690.0,79.7040971168437,75.72078907435508,0.015625,0.0
69,700.0,79.9886191198786,75.72078907435508,0.015625,0.0
70,710.0,80.14036418816389,76.25189681335357,0.015625,0.0
71,720.0,80.21623672230652,76.32776934749621,0.015625,0.0
72,730.0,80.21623672230652,76.32776934749621,0.0,0.0
73,740.0,80.38694992412746,76.40364188163885,0.015625,0.0
74,750.0,81.03186646433991,76.85887708649469,0.0,0.0
75,760.0,81.27845220030349,77.01062215477997,0.015625,0.0
76,770.0,81.20257966616084,76.93474962063733,0.0,0.0
77,780.0,81.31638846737481,76.85887708649469,0.0,0.0
78,790.0,81.31638846737481,76.85887708649469,0.0,0.0
79,800.0,81.31638846737481,76.85887708649469,0.0,0.0
80,810.0,81.48710166919575,76.93474962063733,0.0,0.0
81,820.0,81.94233687405159,77.38998482549317,0.0,0.0
82,830.0,81.86646433990894,77.31411229135054,0.0,0.0
83,840.0,82.35963581183611,77.99696509863429,0.0,0.0
84,850.0,82.47344461305008,78.30045523520485,0.0,0.0
85,860.0,82.53034901365706,78.45220030349014,0.015625,0.0
86,870.0,82.64415781487102,78.3763277693475,0.0,0.0
87,880.0,82.85280728376327,78.67981790591806,0.0,0.0
88,890.0,82.90971168437025,78.83156297420334,0.0,0.0
89,900.0,83.00455235204855,78.83156297420334,0.0,0.0
90,910.0,83.15629742033383,78.98330804248862,0.015625,0.0
91,920.0,83.21320182094082,79.1350531107739,0.0,0.0
92,930.0,83.15629742033383,78.98330804248862,0.0,0.0
93,940.0,83.19423368740516,79.21092564491654,0.0,0.0
94,950.0,83.11836115326253,79.1350531107739,0.0,0.0
95,960.0,83.19423368740516,79.21092564491654,0.0,0.0
96,970.0,83.47875569044007,79.59028831562975,0.0,0.0
97,980.0,83.32701062215479,79.43854324734446,0.0,0.0
98,990.0,83.40288315629742,79.5144157814871,0.0,0.0
99,1000.0,83.4597875569044,79.66616084977238,0.0,0.0
100,1450.0,89.16919575113809,85.66009104704098,0.03125,0.0
101,1900.0,92.14719271623673,88.92261001517451,0.015625,0.0
102,2350.0,93.39908952959028,90.74355083459787,0.0,0.0
103,2800.0,94.53717754172989,91.88163884673747,0.0,0.0
104,3250.0,95.31487101669197,92.94385432473445,0.03125,0.0625
105,3700.0,96.16843702579666,93.70257966616084,0.0,0.015625
106,4150.0,97.05993930197269,94.68892261001517,0.015625,0.0
107,4600.0,97.32549317147192,95.14415781487102,0.0,0.0
108,5049.0,97.70485584218514,95.52352048558423,0.0,0.03125
109,5049.0,97.70485584218514,95.52352048558423,0.015625,0.0
110,5049.0,97.70485584218514,95.52352048558423,0.015625,0.015625
111,5049.0,97.70485584218514,95.52352048558423,0.015625,0.0
112,5049.0,97.70485584218514,95.52352048558423,0.015625,0.015625
113,5049.0,97.70485584218514,95.52352048558423,0.03125,0.015625
114,5049.0,97.70485584218514,95.52352048558423,0.0,0.015625
115,5049.0,97.70485584218514,95.52352048558423,0.0,0.015625
116,5049.0,97.70485584218514,95.52352048558423,0.0,0.015625
117,5049.0,97.70485584218514,95.52352048558423,0.015625,0.0
118,5049.0,97.70485584218514,95.52352048558423,0.0,0.015625
119,5049.0,97.70485584218514,95.52352048558423,0.015625,0.03125
